Name,Instrument,Orchestra,Joined,Education,Teachers
Sandra Bailey,bassoon,Arkansas Symphony,,"Northwestern University, DePaul University","Chris Millard, Lewis Kirk, David McGill, Bill Buchman, Keith Buncke"
Sandra McDonald,violin,Arkansas Symphony,1987,"Bowling Green State University, University Of Arizona Tucson, Aspen Music Festival","Allen Lieb, Alice Joy Lewis, Linda Steig, Nancy Jackson, Barbara Barber, Thomas Wermuth"
Sara Baguyos,"violin, double bass",Atlanta Symphony Orchestra,,"University Of Nebraska At Omaha, Indiana University","Marcia Farabee, Lawrence Hurst"
Sara Bauman,violin,Utah Symphony,,,
Sara Griffin,oboe,New York Philharmonic,2009,"University of Missouri-Kansas City, University of Illinois",
Sarah Chen,violin,Alabama Symphony Orchestra,2010,"The Juilliard School, Curtis Institute of Music","Dorothy Delay, Ivan Galamian, Felix Galimir"
Sarah Clendenning,violin,Pittsburgh Symphony,1997,"Oberlin Conservatory, The Juilliard School","Joel Smirnoff, Gregory Fulkerson, Marylou Speaker-Churchill, Andrew Jennings"
Sarah Grimes,violin,Minnesota Orchestra,2016,Northwestern University,"Sarah Kwak, Almita Vamos"
Sarah Hogan Kaiser,double bass,St. Louis Symphony Orchestra,2004,"Indiana University, Rice University","Lawrence Hurst, Tim Pitts"
Sarah Jackson,"piccolo, flute",Los Angeles Philharmonic,2003,,
Sarah Kienle,viola,Dallas Symphony Orchestra,2017,"Walnut Hill School For The Arts, Colburn School, Indiana University","Paul Coletti, Atar Arad"
Sarah Kwak,violin,Oregon Symphony,2012,"Vienna Hochschule Für Musik, Curtis Institute of Music","Joseph Sivo, Ivan Galamian, Szymon Goldberg"
Sarah Lewis,oboe,Detroit Symphony Orchestra,2017,"Interlochen Arts Academy, Michigan State University, The Juilliard School","Daniel Stolper, Jan Eberle, Nathan Hughes, Elaine Douvas, Pedro Diaz, Linda Strommen"
Sarah Nordlund Dennis,violin,Alabama Symphony Orchestra,2007,"University Of Alabama, Cleveland Institute of Music, Aspen Music Festival","Jeffrey Flaniken, Patrick Rafferty, Paul Kantor, Dr. Bruce Murray"
Sarah Seiver,cello,New Jersey Symphony,,"Curtis Institute of Music, Harvard University, The Juilliard School",
Sarah Sung,viola,Dallas Symphony Orchestra,2023,"The Juilliard School, Northwestern University","Paul Neubauer, Cynthia Phelps, Misha Amory, Tobias Breider"
Sarah Switzer,viola,Minnesota Orchestra,2022,"Rice University, Yale University","Ivo-Jan van der Werff, Wendy Sharp, Cynthia Phelps, Richard O’Neill, Karen Dreyfus, Ed Gazouleas, James Maurer, Jacqueline Maurer"
Sarn Oliver,violin,San Francisco Symphony,1995,The Juilliard School,"Elmar Olivera, Ron Neal, Sally Thomas, Ivan Galamian, Felix Galimir"
Satoshi Okamoto,double bass,New York Philharmonic,2003,"The Juilliard School, Tokyo University of the Arts","Eugene Levinson, Paul Ellison, Yoshio Nagashima, Osamu Yamamoto"
Sayaka Kokubo,viola,Seattle Symphony,2007,University of Cincinnati College-Conservatory of Music,
Schuyler Jackson,bassoon,Baltimore Symphony Orchestra,2014,"University of Hartford Hartt School, Manhattan School of Music","Marc Goldberg, Roger Nye, Rebecca Noreen"
Scott Andrews,clarinet,St. Louis Symphony Orchestra,2005,"Virginia Governor’S School For The Arts, Interlochen Music Center, New England Conservatory of Music","Edward Knakal, Harold Wright"
Scott Christian,"percussion, timpani",National Symphony Orchestra,2019,"Cleveland Institute of Music, University of Maryland, West Virginia University, Concord University, Brevard Music Center","Paul Yancich, Richard Weiner, Peter Kogan"
Scott Dixon,double bass,The Cleveland Orchestra,2007,"Oberlin Conservatory, Rice University, Aspen Music Festival And School, New World Symphony",Paul Ellison
Scott Fearing,french horn,National Symphony Orchestra,2003,"University of North Texas College of Music, University of Washington","Clyde Miller, James London, Gregory Hustis"
Scott Hostetler,oboe,Chicago Symphony Orchestra,2002,"Cleveland Institute of Music, The Juilliard School, Aspen Music Festival","John Mack, Elaine Douvas"
Scott Leger,french horn,Louisville Orchestra,,"Yale University, Southern Methodist University","William Purvis, Gregory Hustis"
Scott Lewis,viola,Utah Symphony,,,
Scott Mozlin,violin,Cincinnati Symphony Orchestra,1986,Cleveland Institute of Music,
Scott Pingel,double bass,San Francisco Symphony,2018,"The Juilliard School, Colburn School","Dorothy DeLay, Ivan Galamian, Felix Galimir"
Scott Sanders,french horn,Milwaukee Symphony,,Northwestern University,"Gail Williams, Jonathan Boen, David Heyde"
Scott Strong,french horn,Detroit Symphony Orchestra,2014,"Southern Methodist University, Rice University","Gregory Hustis, William VerMeulen"
Scott Tisdel,cello,Milwaukee Symphony,1987,,
Scott Walzel,bassoon,Dallas Symphony Orchestra,1992,"University of Houston, University of Southern California","Norman Herzberg, Benjamin Kamins, Paul Tucci"
Sean Brumble,viola,Kansas City Symphony,1996,"University of Missouri-Kansas City, Danish National Academy of Music","Maria Maxwell, Walter Halen, Steve Kruse, Don McInnes"
Sean Gordon,bassoon,Baltimore Symphony Orchestra,2022,"Oberlin Conservatory, Rice University","George Sakakeeny, Benjamin Kamins"
Sean Juhl,viola,Pittsburgh Symphony,2022,"The Juilliard School, Danish National Academy of Music","Carol Rodland, mother"
Sean Marron,"piccolo, flute",Rochester Philharmonic Orchestra,2022,Eastman School of Music,"Bonita Boyd, Anne Harrow, Bart Feller"
Seiji Ozawa,piano,Boston Symphony Orchestra,1973,"Seijo Junior High School, Toho School Of Music","Hideo Saito, Herbert von Karajan, Leonard Bernstein"
Seoyoen Min,cello,Colorado Symphony,2019,"Northwestern University, Seoul National University","Lynn Harrell, Gary Hoffman, Xenia Jankovic, Peter Bruns, Tilmann Wick, Hans Jørgen Jensen"
Seretta Hart,trumpet,Utah Symphony,,,
Serge Oskotsky,cello,Los Angeles Philharmonic,1997,"St. Petersburg Conservatory, Moscow Conservatory, University of Southern California","Gayane Mndoyan, Natalya Shakhovskaya, Eleonore Schoenfeld, Zara Nelsova, Siegfried Palm, Harvey Shapiro"
Sergei Galperin,violin,Houston Symphony,1999,"Moscow Conservatory, The Juilliard School, Indiana University, Peabody Conservatory","N. Boyarsky, Dorothy DeLay, Hyo Kang, Z. Gilels, N. Shkolnikova, H. Greenberg"
Serghei Tanas,violin,Alabama Symphony Orchestra,,,
Sergio Carreno,percussion,Oregon Symphony,2012,Carnegie Mellon School of Music,"Timothy Adams Jr., Michael Tilson Thomas"
Seth Biagini,cello,Oregon Symphony,,The Juilliard School,"Timothy Eddy, Natasha Brofsky, Alan Stepansky, Robert deMaine"
Seth Krimsky,bassoon,Seattle Symphony,1986,University of Southern California,Norman Herzberg
Seth Low,cello,Baltimore Symphony Orchestra,1985,"Oberlin Conservatory, City College of New York, University of Maryland","Richard Kapuscinski, Claus Adam, Evelyn Elsing"
Seth Rawleigh,tuba,Buffalo Philharmonic Orchestra,2022,"Zurich University of the Arts, Roberts Wesleyan College","Anne Jelle Visser, W. Craig Sutherland, Matthew K. Brown, Jonathan R. Hinkson"
Seul Lee,violin,St. Louis Symphony Orchestra,2023,"Seoul National University, Indiana University, University of Illinois","Midori Goto, Pamela Frank, Janos Starker, Tomasz Tomaszewski, Ik-Hwan Bae, Mauricio Fuks, Stefan Milenkovich"
SeungHoon Lee,violin,Seattle Symphony,2023,"Korea National University of Arts, Rice University","Sung-Ju Lee, Takashi Shimizu, Cho-Liang Lin"
Sha Zhu,violin,Austin Symphony Orchestra,1988,"Shanghai Conservatory of Music, University Of Montreal, University of Texas",
Shachar Israel,trombone,The Cleveland Orchestra,2009,"Curtis Institute of Music, Thelma Yellin High School, Kiryat Yam Wind Band","Nitzan Haroz, Joseph Alessi, Mark Lawrence, Mitchell Ross, Micha Davis, Joseph Nashkes"
Shannon Finney,flute,Kansas City Symphony,2017,Northwestern University,"Walfrid Kujala, Mary Stolper, Karla Flygare"
Shannon Nance,violin,Rochester Philharmonic Orchestra,1993,Eastman School of Music,"Catherine Tait, Zvi Zeitlin"
Shannon Orme,"bass clarinet, clarinet",Detroit Symphony Orchestra,2007,"Interlochen Arts Academy, Northwestern University, University of Southern California","Jean Miller, Richard Hawkins, J. Lawrie Bloom, Yehuda Gilad"
Shannon Williams,viola,St. Louis Symphony Orchestra,2005,"Indiana University, New England Conservatory of Music","Mimi Zweig, Rostislav Dubinsky, Miriam Fried, Atar Arad, Martha Katz"
Shannon Wood,timpani,St. Louis Symphony Orchestra,2013,"University of Michigan, Temple University, New World Symphony","Michael Udow, Salvatore Rabbio, Alan Abel, Tom Freer, Michael Tilson Thomas"
Shanshan Zeng,violin,Oregon Symphony,2019,"Sichuan Conservatory of Music, San Domenico School, San Francisco Conservatory of Music, New England Conservatory of Music, University of Southern California","Wenyuan Chen, Wei He, Ian Swensen, Lucy Chapman, Bing Wang"
Sharif Ibrahim,double bass,Indianapolis Symphony Orchestra,2022,"Indiana University, Carmel High School, Quattro String Academy","Robert Goodlett, Betty Perry"
Sharon Sparrow,flute,Detroit Symphony Orchestra,1997,"The Juilliard School, Mannes College of Music, Wayne State University (Instructor)","Julius Baker, Thomas Nyfenger, Geoffrey Gilbert"
Sharon Yamada,violin,New York Philharmonic,1988,"Yale University, Yale University, Crossroads School For The Arts And Sciences, Danish National Academy of Music","Szymon Goldberg, Syoko Aki, Alice Schoenfeld"
Shawn Mouser,bassoon,Los Angeles Philharmonic,2003,"Louisiana State University, New England Conservatory of Music",
Shawn Weil,violin,St. Louis Symphony Orchestra,2005,Indiana University,
Shea Kelsay,trumpet,Kansas City Symphony,,Northwestern University,"Tom Rolfs, David Bilger, Michael Sachs, Channing Philbrick, Robert Sullivan"
Sheena Lan,violin,Milwaukee Symphony,2024,"National University Of Singapore’S Yong Siew Toh Conservatory, Indiana University","Zuo Jun, Mark Kaplan, Ellen dePasquale"
Sheila Fiekowsky,violin,Boston Symphony Orchestra,1975,"Meadowmount School Of Music, Curtis Institute of Music, Yale University","Emily Mutter Austin, Ivan Galamian, Joseph Gingold, Jaime Laredo, Felix Galimir, Joseph Silverstein"
Sheldon Person,viola,Houston Symphony,2016,"Guildhall School of Music and Drama, Indiana University, Rice University, University of Alberta, Australian National Academy of Music","Atar Arad, David Takeno, Karen Ritscher"
Shengnan Li,violin,Oregon Symphony,2023,"New England Conservatory of Music, Rice University","Nicholas Kitchen, Kathleen Winkler"
Sherry Hong,violin,Indianapolis Symphony Orchestra,2007,"University of Michigan, La Schola Cantorum",
Sherry Sylar,oboe,New York Philharmonic,1984,"Indiana University, Northwestern University, Manhattan School of Music",
Sheryl Hadeka,french horn,Pittsburgh Symphony,2022,"Eastman School of Music, Southern Methodist University",
Sheryl Hwangbo Yu,violin,Detroit Symphony Orchestra,2012,"Cleveland Institute of Music, The Juilliard School, Manhattan School of Music","Paul Kantor, Ronald Copes, Glenn Dicterow, Lisa Kim, Cleveland Quartet, Juilliard Quartet, Guarneri Quartet, Takács Quartet, Tokyo Quartet, Cavani Quartet"
Sheryl Staples,violin,New York Philharmonic,1998,"Usc Thornton School Of Music, Colburn School, Cleveland Institute of Music, Manhattan School of Music, The Juilliard School","Robert Lipsett, Heiichiro Ohyama"
Shieh-Jian Tsai,violin,Buffalo Philharmonic Orchestra,,"Music Schools In Taipei, University of Illinois, New England Conservatory of Music","Gerardo Ribeiro, Sherban Lupu, Masuko Ushioda, Ronald Copes, Pamela Frank, Emanual Ax, Arnold Steinhardt"
Shin-young Kwon,violin,Oregon Symphony,2004,"Seoul National University, Manhattan School of Music, Indiana University","Sylvia Rosenberg, Miriam Fried, Atar Arad, James Buswell, Isidore Cohen, Glenn Dicterow, Alexander Kerr, Peter Salaf, János Starker, Sheryl Staples, Alan de Veritch, Zvi Zeitlin"
Shinae Ra,cello,Milwaukee Symphony,2023,"Indiana University, The Juilliard School","Emanuel Gruber, Peter Stumpf, Natasha Brofsky"
Shira Samuels-Shragg,conductor,Dallas Symphony Orchestra,2024,"The Juilliard School, Swarthmore College","David Robertson, Andrew Hauze, Marcantonio Barone, Daniel Harding, Jennifer Wheeler"
Sho-Mei Pelletier,violin,Dallas Symphony Orchestra,,"Indiana University, Booker T. Washington School For The Arts",Josef Gingold
Shomya Mitra,violin,Indianapolis Symphony Orchestra,2024,"Oberlin Conservatory, The Juilliard School","James Ehnes, Pamela Frank, Merry Peckham, Ronald Copes, Norman Fischer, Laurie Smukler, Sibbi Bernhardsson, Gregory Fulkerson, Ariel Quartet"
Shu Lee,violin,Dallas Symphony Orchestra,1995,New England Conservatory of Music,
Si-Jing Huang,x,Boston Symphony Orchestra,1989,The Juilliard School,"Glenn Dicterow, Dorothy DeLay, Da-Ying Huang"
Si-Yang Lao,violin,Houston Symphony,1997,"Shang Hai Conservatory Of Music, Moores School Of Music At The University Of Houston","father, Ms. Fredell Lack"
Sifei Cheng,viola,Minnesota Orchestra,1995,"Curtis Institute of Music, The Juilliard School","Samuel Rhodes, Miriam Fried, Paul Biss, Alan de Veritch, Tokyo String Quartet, American String Quartet, Karen Tuttle, Michael Tree, William Kennedy"
Silver Ainomäe,cello,Minnesota Orchestra,2009,"Sibelius Academy, Guildhall School of Music and Drama, Razumovsky Academy","Hannu Kiiski, Arto Noras, Oleg Kogan"
Simon Michal,violin,Chicago Symphony Orchestra,2016,"Prague Conservatory, The Juilliard School, Manhattan School of Music","Jaroslav Foltýn, Glenn Dicterow, Sylvia Rosenberg, Lisa Kim, Father"
Sissi Yuqing Zhang,violin,Atlanta Symphony Orchestra,2017,"The Juilliard School, Yale University, Columbia College Chicago Music Department, Yale University","Lewis Kaplan, Ronald Copes, Ida Kavafian, Ani Kavafian"
Siyu Zhang,violin,St. Louis Symphony Orchestra,2023,"China Conservatory of Music, Manhattan School of Music, Rice University","Li Yi, Lucie Robert, Kathleen Winkler"
So Young Bae,violin,Chicago Symphony Orchestra,2012,"Seoul National University, The Juilliard School","Stephen Clapp, Sylvia Rosenberg"
Socrates Villegas,clarinet,The Philadelphia Orchestra,2016,"Temple University, Versailles Conservatory, National Conservatory In Mexico City, Aspen Music Festival And School","Ricardo Morales, Philippe Cuper, Marina Calva, Joaquin Valdepeñas"
Sodam Lim,violin,Kansas City Symphony,2022,"Hanyang University, New England Conservatory of Music, Indiana University","Alexander Kerr, James Buswell, Nicholas Kitchen, Jason Horowitz, Joseph Kim, Jueun Cho"
Sofia Basile,viola,New York Philharmonic,2023,"Walnut Hill School For The Arts, New England Conservatory of Music, The Juilliard School","Dimitri Murrath, Carol Rodland"
Sohyun Ahn,violin,Colorado Symphony,2023,"Rice University, New England Conservatory of Music","Cho Liang Lin, Kristopher Tong, Ayano Ninomiya"
Sonia Mantell,cello,Minnesota Orchestra,2020,"New England Conservatory of Music, DePaul University","Natasha Brofksy, Brant Taylor"
Sonja Braaten Molloy,violin,The Cleveland Orchestra,2000,Cleveland Institute of Music,"William Preucil, David Updegraff, Linda Cerone"
Sonora Slocum,flute,Milwaukee Symphony,2012,"The Juilliard School, Curtis Institute of Music, Manhattan School of Music","Jeffrey Khaner, Robert Langevin, Bart Feller"
Soohyun Kwon,violin,New York Philharmonic,2001,"Seoul National University, The Juilliard School","Nam Yun Kim, Min Kim, Glenn Dicterow"
Sooyeon Kim,violin,Rochester Philharmonic Orchestra,2022,"The Juilliard School, Stony Brook University, Taos School Of Music","Naoko Tanaka, Hagai Shaham"
Sophia Cho,violin,Indianapolis Symphony Orchestra,2017,"The Juilliard School, Rice University","David Chan, Catherine Cho, Paul Kantor, Almita Vamos, Roland Vamos"
Sophia Filippone,french horn,Buffalo Philharmonic Orchestra,2022,"Mannes College of Music, Manhattan School of Music, Rice University","Michelle Baker, Joseph Anderer, Michael Powell, William VerMeulen"
Sophia Jani,composer,Dallas Symphony Orchestra,2023,"University Of Augsburg, Universität für Musik und darstellende Kunst Graz, Yale University","Martin Bresnick, David Lang"
